asn,ix_id,fac_id,name,state,city
13335,6,208,CoreSite - Chicago (CH1),IL,Chicago
16509,6,208,CoreSite - Chicago (CH1),IL,Chicago
8075,6,208,CoreSite - Chicago (CH1),IL,Chicago
57976,6,208,CoreSite - Chicago (CH1),IL,Chicago
15133,6,208,CoreSite - Chicago (CH1),IL,Chicago
6939,6,208,CoreSite - Chicago (CH1),IL,Chicago
15169,6,208,CoreSite - Chicago (CH1),IL,Chicago
55256,6,208,CoreSite - Chicago (CH1),IL,Chicago
14340,6,208,CoreSite - Chicago (CH1),IL,Chicago
32748,6,208,CoreSite - Chicago (CH1),IL,Chicago
32899,6,208,CoreSite - Chicago (CH1),IL,Chicago
23473,6,208,CoreSite - Chicago (CH1),IL,Chicago
10310,6,208,CoreSite - Chicago (CH1),IL,Chicago
396850,6,208,CoreSite - Chicago (CH1),IL,Chicago
22822,6,208,CoreSite - Chicago (CH1),IL,Chicago
58907,6,208,CoreSite - Chicago (CH1),IL,Chicago
9304,6,208,CoreSite - Chicago (CH1),IL,Chicago
42,6,208,CoreSite - Chicago (CH1),IL,Chicago
30517,6,208,CoreSite - Chicago (CH1),IL,Chicago
23367,6,208,CoreSite - Chicago (CH1),IL,Chicago
16524,6,208,CoreSite - Chicago (CH1),IL,Chicago
3856,6,208,CoreSite - Chicago (CH1),IL,Chicago
12200,6,208,CoreSite - Chicago (CH1),IL,Chicago
44444,6,208,CoreSite - Chicago (CH1),IL,Chicago
397494,6,208,CoreSite - Chicago (CH1),IL,Chicago
22425,6,208,CoreSite - Chicago (CH1),IL,Chicago
13335,1307,208,CoreSite - Chicago (CH1),IL,Chicago
199524,1307,208,CoreSite - Chicago (CH1),IL,Chicago
63023,1307,208,CoreSite - Chicago (CH1),IL,Chicago
16509,1307,208,CoreSite - Chicago (CH1),IL,Chicago
8075,1307,208,CoreSite - Chicago (CH1),IL,Chicago
57976,1307,208,CoreSite - Chicago (CH1),IL,Chicago
15133,1307,208,CoreSite - Chicago (CH1),IL,Chicago
6939,1307,208,CoreSite - Chicago (CH1),IL,Chicago
49544,1307,208,CoreSite - Chicago (CH1),IL,Chicago
714,1307,208,CoreSite - Chicago (CH1),IL,Chicago
62904,1307,208,CoreSite - Chicago (CH1),IL,Chicago
33438,1307,208,CoreSite - Chicago (CH1),IL,Chicago
14928,1307,208,CoreSite - Chicago (CH1),IL,Chicago
2906,1307,208,CoreSite - Chicago (CH1),IL,Chicago
32934,1307,208,CoreSite - Chicago (CH1),IL,Chicago
19151,1307,208,CoreSite - Chicago (CH1),IL,Chicago
11403,1307,208,CoreSite - Chicago (CH1),IL,Chicago
32035,1307,208,CoreSite - Chicago (CH1),IL,Chicago
394968,1307,208,CoreSite - Chicago (CH1),IL,Chicago
62597,1307,208,CoreSite - Chicago (CH1),IL,Chicago
21788,1307,208,CoreSite - Chicago (CH1),IL,Chicago
40630,1307,208,CoreSite - Chicago (CH1),IL,Chicago
13335,811,208,CoreSite - Chicago (CH1),IL,Chicago
20940,811,208,CoreSite - Chicago (CH1),IL,Chicago
199524,811,208,CoreSite - Chicago (CH1),IL,Chicago
16509,811,208,CoreSite - Chicago (CH1),IL,Chicago
8075,811,208,CoreSite - Chicago (CH1),IL,Chicago
25697,811,208,CoreSite - Chicago (CH1),IL,Chicago
6939,811,208,CoreSite - Chicago (CH1),IL,Chicago
46261,811,208,CoreSite - Chicago (CH1),IL,Chicago
15169,811,208,CoreSite - Chicago (CH1),IL,Chicago
2734,811,208,CoreSite - Chicago (CH1),IL,Chicago
4455,811,208,CoreSite - Chicago (CH1),IL,Chicago
55256,811,208,CoreSite - Chicago (CH1),IL,Chicago
14340,811,208,CoreSite - Chicago (CH1),IL,Chicago
7843,811,208,CoreSite - Chicago (CH1),IL,Chicago
20115,811,208,CoreSite - Chicago (CH1),IL,Chicago
12083,811,208,CoreSite - Chicago (CH1),IL,Chicago
47869,811,208,CoreSite - Chicago (CH1),IL,Chicago
22995,811,208,CoreSite - Chicago (CH1),IL,Chicago
20278,811,208,CoreSite - Chicago (CH1),IL,Chicago
